C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/06/2020,11:00:00,REGULAR,0001353457,0005108287                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/06/2020,15:00:00,REGULAR,0001353559,0005108695                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/06/2020,19:00:00,REGULAR,0001353827,0005109295                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/06/2020,23:00:00,REGULAR,0001353955,0005109519                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/07/2020,03:00:00,REGULAR,0001353974,0005109540                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/07/2020,07:00:00,REGULAR,0001353979,0005109616                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/07/2020,11:00:00,REGULAR,0001354029,0005110455                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/07/2020,15:00:00,REGULAR,0001354107,0005110851                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/07/2020,19:00:00,REGULAR,0001354359,0005111482                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,02/07/2020,23:00:00,REGULAR,0001354478,0005111668                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/01/2020,03:00:00,REGULAR,0001407018,0002157087                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/01/2020,07:00:00,REGULAR,0001407029,0002157144                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/01/2020,11:00:00,REGULAR,0001407108,0002157396                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/01/2020,15:00:00,REGULAR,0001407296,0002157734                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/01/2020,19:00:00,REGULAR,0001407620,0002158078                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/01/2020,23:00:00,REGULAR,0001407850,0002158228                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/02/2020,03:00:00,REGULAR,0001407904,0002158278                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/02/2020,07:00:00,REGULAR,0001407914,0002158307                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/02/2020,11:00:00,REGULAR,0001407980,0002158498                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/02/2020,15:00:00,REGULAR,0001408131,0002158803                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/02/2020,19:00:00,REGULAR,0001408349,0002159150                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/02/2020,23:00:00,REGULAR,0001408524,0002159274                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/03/2020,03:00:00,REGULAR,0001408557,0002159307                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/03/2020,07:00:00,REGULAR,0001408571,0002159414                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/03/2020,11:00:00,REGULAR,0001408691,0002160259                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/03/2020,15:00:00,REGULAR,0001408906,0002160552                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/03/2020,19:00:00,REGULAR,0001409419,0002160989                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/03/2020,23:00:00,REGULAR,0001409702,0002161172                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/04/2020,03:00:00,REGULAR,0001409747,0002161196                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/04/2020,07:00:00,REGULAR,0001409765,0002161326                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/04/2020,11:00:00,REGULAR,0001409917,0002162192                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/04/2020,15:00:00,REGULAR,0001410134,0002162521                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/04/2020,19:00:00,REGULAR,0001410695,0002162968                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/04/2020,23:00:00,REGULAR,0001410971,0002163178                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/05/2020,03:00:00,REGULAR,0001411031,0002163198                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/05/2020,07:00:00,REGULAR,0001411048,0002163312                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/05/2020,11:00:00,REGULAR,0001411191,0002164165                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/05/2020,15:00:00,REGULAR,0001411425,0002164504                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/05/2020,19:00:00,REGULAR,0001411995,0002164936                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/05/2020,23:00:00,REGULAR,0001412315,0002165160                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/06/2020,03:00:00,REGULAR,0001412356,0002165193                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/06/2020,07:00:00,REGULAR,0001412368,0002165305                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/06/2020,11:00:00,REGULAR,0001412526,0002166111                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/06/2020,15:00:00,REGULAR,0001412763,0002166390                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/06/2020,19:00:00,REGULAR,0001413290,0002166885                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/06/2020,23:00:00,REGULAR,0001413543,0002167116                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/07/2020,03:00:00,REGULAR,0001413611,0002167145                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,02/07/2020,07:00:00,REGULAR,0001413632,0002167252                                            
